source	primary	clauses	disposition	obligations_and_resolution
537	P02	P02,P03,P08	consolidated	Common exact phrase wrapper including any other sender-designated exact substring; replaces earlier phrase delimiter; category triggers stay; identifiers remain under specific later law.
541	P05	P02,P05	 superseded	Temporal internal symbols never grammar after decode; universal545 absorbs it.
545	P14	P02,P03,P04,P05,P06,P07,P08,P14	consolidated	All protected semantic atoms stay opaque after reconstruction; identifier/temporal special repetitions consolidated.
546	P05	P02,P05	 superseded	One multi-constraint temporal atom with links intact; 669 consolidates.
547	P09	P09	conflict	Minimal reconstruction preserves plausible grammar and facts; first two examples retained; third wrongly omits if/because, corrected R07.
549	P11	P11,P14	conflict	>=3 patterns; numbered placeholders; scoped variable definitions, invocations, exactness, alias/ref ordering and full costs retained as intended contract; ambiguous syntax disabled pending R08.
556	P04	P02,P04	 superseded	Measured beginning/end encoder check, correction; consolidated by588.
560	P04	P02,P04	 superseded	Numeric and comparative phrase complete with qualifiers/prepositions; consolidated by588.
562	P06	P02,P06	consolidated	Label/entity stays opaque after reconstruction.
563	P07	P02,P07	consolidated	Linked phrase first category to last linked category, all intervening words; later662 retained.
567	P05	P02,P05	consolidated	Mandatory temporal scan before minimal form/other compression.
569	P04	P02,P04	 superseded	Mandatory measured scan before compression; superseded588, operational repeal590 separated.
573	P04	P02,P04	 superseded	Measured mandatory contiguous boundaries and exact comparison; superseded588.
574	P12	P02,P12	conflict	>=3 lines exact prefix/suffix; single atomic middle; literal spaces, unwrap and concatenate; exact comparison. Example adds undeclared second variable, disallowed R10.
575	P05	P02,P05	consolidated	Temporal decoder literal emission/validation; source access distinction R06.
578	P07	P02,P07	consolidated	Mandatory linked scan, first/last category bounds; exact contiguous verification before transmit.
586	P04	P02,P04	 superseded	Include allocation action verb preceding measured quantity; later588 consolidates.
588	P04	P02,P04	consolidated	All numeric/comparison/allocation triggers; action starts; unit/target/qualifier ends; stop independent clause; no splitting; comparison/correction mandatory.
590	__exclude__	P04	operational	Repeal569 statement retained in source history; measured behavior lives in588/P04.
592	P04	P02,P04	consolidated	Entire allocation quantity-unit-preposition-target as one protected relationship.
593	P04	P02,P04	consolidated	Encoder verifies every measured component before sending: precision, unit, target and relations; correct mismatch.
594	P07	P02,P07	conflict	Mandatory linked scan still maps to662/P07; repeal646 cites absent adopted635. Do not infer missing operative text: R12.
598	P03	P02,P03	consolidated	Identifier characters immune to all compression mechanisms.
604	P03	P02,P03	consolidated	Identifier exactness immune to replacement, omission and reinterpretation.
607	P03	P02,P03	 superseded	Identifier postdecode immunity, superseded613/615.
613	P03	P02,P03	 superseded	Consolidated identifier definition/backticks/literal verification/opacity; later615 explicit immunity.
615	P03	P02,P03,P10	consolidated	Authoritative opaque ID definition; every character including whitespace; encoder check; decoder literal/isolation; compression immunity; whole-alias665 clarification R03.
621	P03	P02,P03	consolidated	Postdecode identifier character isolation duplicate.
624	P05	P02,P05	consolidated	Keep conjunctions internal to multi-constraint temporal relationship, stop independent clauses.
633	P05	P02,P05	consolidated	Temporal postdecode semantic opacity retained via669 despite repeal640.
640	__exclude__	P05	operational	Repeal633 procedural text; opacity retained by669/P05, no independent language clause.
641	P12	P02,P03,P12	conflict	>=3 lines prefix plus final atom; %list prefix$ no suffix; $ item expands with literal spacing and unwrap; ID example wrapper corrected under615; collision with655 R11.
646	__exclude__	P07	operational	Repeal594 procedural text citing non-adopted635; final linked scan independently survives662; R12.
651	P05	P02,P05	 superseded	Multi-constraint temporal bounds; reference647 not adopted; substantive text consolidated669, R12.
652	P05	P02,P05	 superseded	Attached sequence marker retained; references647/649 not adopted, consolidated669, R12.
653	P05	P02,P05	 superseded	Temporal decoder exact/opaque consolidation669.
655	P12	P12,P14	conflict	Two-instance definition-free prefix reuse retained as documented intended capability but disabled in candidate: ambiguous antecedent and $ item collision R11.
661	P04	P02,P04	consolidated	Measured output opaque after reconstruction; preserve numeric precision, units, comparison direction and complete action/target relation.
662	P07	P02,P07	consolidated	Mandatory two-category relationship scan; trigger list; contiguous first-category through last linked fact; stop independent clause; character compare/correct.
665	P03	P03,P10	consolidated	Identifier alias definition literal backticked source; no internal compression; before-storage comparison.
667	__exclude__	P14	operational	Withdrawn proposal note; no operative behavior.
668	P13	P02,P10,P11,P12,P13,P14	conflict	>=3 distinct whole lines; named macros, valid/reserved names; numbered atomic arguments, literal skeleton/spacing; known-name matching; aliases/references first; wrapped substitution and exact checks; selection overlap/two-example issue R10,R13.
669	P05	P02,P05	consolidated	Six temporal trigger types; precompression scan; introduction/sequence/qualifier boundaries; linking constraints internal, independent clause outside; four boundary examples; exactness/correction/opacity; explicit supersessions.
